nama_kecamatan,suspek,suspek_meninggal,pelaku_perjalanan,kontak_erat,positif,dirawat,sembuh,self_isolation,total_perawatan_rs,total_isolasi_di_rumah,total_selesai_isolasi,total_meninggal
CAKUNG,47906,330,594,131038,32279,1518,23603,6458,1402,24520,160807,701
CEMPAKA PUTIH,47958,150,761,102825,27199,810,21162,4682,664,7765,146731,536
CENGKARENG,63362,870,816,130411,35443,2524,24981,6922,1279,25581,168587,1013
CILANDAK,39784,270,7759,82342,14264,480,10458,2645,1067,14462,117488,676
CILINCING,67317,360,957,136694,39855,1147,32973,5011,2792,14371,198623,717
CIPAYUNG,53863,300,634,67744,19650,1312,14951,3193,1553,16102,108617,189
CIRACAS,56373,480,2579,148068,19172,1178,14111,3419,1163,15328,197896,462
DUREN SAWIT,92749,300,650,110430,39897,1651,29867,7133,1750,18712,186757,1241
GAMBIR,23445,299,1808,55201,18840,854,13548,3846,535,7014,74668,586
GROGOL PETAMBURAN,54438,480,3816,105081,24670,1420,19432,3077,680,12419,155559,738
JAGAKARSA,85486,120,1055,75895,21837,713,16662,3897,1830,15145,148163,559
JATINEGARA,39422,450,498,62248,24460,901,18298,4615,1406,12657,90964,648
JOHAR BARU,33257,180,238,81612,27980,670,22179,3683,667,6608,114764,1460
KALI DERES,67254,690,692,141277,16927,1131,12935,2408,1081,18851,190528,452
KEBAYORAN BARU,41201,330,1092,66663,13640,660,10765,1940,692,11026,97345,276
KEBAYORAN LAMA,49070,539,3081,89894,23493,1098,18136,3326,969,8000,134319,931
KEBON JERUK,47777,660,2107,128045,29333,1740,21329,5202,1274,19612,163834,1067
KELAPA GADING,51452,168,3166,99679,19143,1078,14820,2667,1322,12605,146528,578
KEMAYORAN,67049,570,1028,87399,35341,1192,27414,5329,1407,16169,142574,1414
KEMBANGAN,43931,540,778,112389,21875,1430,16091,3881,910,20276,139013,474
KEP. SERIBU SELATAN,1891,0,0,18061,1116,21,1033,58,11,360,19641,3
KEP. SERIBU UTARA,5352,60,90,10442,721,14,529,178,11,840,15123,0
KOJA,67571,150,617,77929,40854,988,33023,5927,1552,10831,143017,915
KRAMAT JATI,49237,180,1017,111829,25429,1540,19399,3737,1224,17071,149327,754
MAKASAR,25133,210,573,83303,20728,1274,14757,4264,1044,13184,97080,428
MAMPANG PRAPATAN,26910,300,1055,97858,18467,712,13438,3853,687,12471,113753,467
MATRAMAN,40782,510,278,73496,22008,784,17211,3234,949,9376,111469,784
MENTENG,23942,210,227,53421,18039,554,14165,2815,414,6688,73505,502
PADEMANGAN,66151,240,993,98870,25607,665,21311,2918,479,11365,155563,713
PALMERAH,73809,900,557,128371,34434,1501,28246,3655,961,20430,190701,1033
PANCORAN,40594,169,1495,69211,16876,1034,13467,2183,800,8919,102797,194
PASAR MINGGU,63293,300,937,91938,23253,1263,17391,3891,1691,15708,148918,708
PASAR REBO,68708,150,426,43094,15755,995,11893,2511,967,10423,102471,349
PENJARINGAN,40735,300,1624,130955,23547,1216,18668,2763,1089,16274,160944,907
PESANGGRAHAN,55659,420,443,129941,16129,724,11738,3173,1004,12881,174370,494
PULO GADUNG,46009,390,1488,120277,28385,1763,21613,4312,1262,16286,154842,698
SAWAH BESAR,35056,300,428,75861,17987,692,13520,3222,476,8974,103137,550
SENEN,39342,289,1090,92875,25430,602,21840,2196,665,8047,129742,793
SETIA BUDI,26673,270,3922,81892,14092,596,10821,2231,594,9312,104380,441
TAMAN SARI,34615,300,499,55542,17846,965,13354,3193,724,11048,80881,331
TAMBORA,65732,450,503,71481,27726,1449,22201,2953,1057,7472,131077,1129
TANAH ABANG,56029,420,876,59787,33889,1518,25661,5672,790,6527,109778,1041
TANJUNG PRIOK,83603,480,2108,171835,48454,1470,39576,5934,1802,24801,243918,1478
TEBET,50329,390,1939,89277,22363,1121,17009,3600,1152,15558,129304,641
